run_id,pair_id,role,speed_mps,target_foot,target_phase,actual_onset_phase,severity,material_profile,control_type,variation_index,actual_first_affected_foot,target_touchdown_sample,target_touchdown_time_s,target_physical_onset_sample,target_physical_onset_time_s,touchdown_to_onset_ms,target_contact_episode_id,contralateral_physical_slip_contamination,valid_target_positive,wrong_foot_onset,bilateral_ambiguous,no_onset,fall_occurred,first_fall_sample,fall_reason,post_fall_excluded_sample_count,discarded,replaced,silently_relabelled,physical_slip_foot_count,physical_slip_onset_free,stable_loaded_contact_coverage,valid_control_source,maximum_target_anchor_drift_m,first_fall_censor_boundary,control_source_valid,failure_reason,failed_attempt_preserved,silently_counted_as_normal,development_only
control_0p15_right_early_loading_native_strong_ice_v1,v5_pair_055,control,0.15,right,early_loading,none,native_strong_ice,hard_normal,hard_normal,1,none,37,0.03800000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.006306206341832876,,True,,True,False,True
control_0p15_right_early_loading_native_strong_ice_v2,v5_pair_056,control,0.15,right,early_loading,none,native_strong_ice,near_slip_non_event,near_slip_non_event,2,none,34,0.035000000000000024,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.00986251700669527,,True,,True,False,True
control_0p15_right_early_loading_moderate_ice_preregistered_v0,v5_pair_057,control,0.15,right,early_loading,none,moderate_ice_preregistered,hard_normal,hard_normal,0,none,43,0.04400000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.0066036805510520935,,True,,True,False,True
control_0p15_right_early_loading_moderate_ice_preregistered_v1,v5_pair_058,control,0.15,right,early_loading,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,1,none,37,0.03800000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.006411409471184015,,True,,True,False,True
control_0p15_right_early_loading_moderate_ice_preregistered_v2,v5_pair_059,control,0.15,right,early_loading,none,moderate_ice_preregistered,hard_normal,hard_normal,2,none,34,0.035000000000000024,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.00896471831947565,,True,,True,False,True
control_0p15_right_mid_loading_early_stance_native_strong_ice_v0,v5_pair_060,control,0.15,right,mid_loading_early_stance,none,native_strong_ice,hard_normal,hard_normal,0,none,43,0.04400000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.006610397715121508,,True,,True,False,True
control_0p15_right_mid_loading_early_stance_native_strong_ice_v1,v5_pair_061,control,0.15,right,mid_loading_early_stance,none,native_strong_ice,near_slip_non_event,near_slip_non_event,1,none,37,0.03800000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.005959521047770977,,True,,True,False,True
control_0p15_right_mid_loading_early_stance_native_strong_ice_v2,v5_pair_062,control,0.15,right,mid_loading_early_stance,none,native_strong_ice,hard_normal,hard_normal,2,none,34,0.035000000000000024,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.008947880938649178,,True,,True,False,True
control_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v0,v5_pair_063,control,0.15,right,mid_loading_early_stance,none,moderate_ice_preregistered,near_slip_non_event,near_slip_non_event,0,none,43,0.04400000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.006429619621485472,,True,,True,False,True
control_0p15_right_mid_loading_early_stance_moderate_ice_preregistered_v1,v5_pair_064,control,0.15,right,mid_loading_early_stance,none,moderate_ice_preregistered,hard_normal,hard_normal,1,none,37,0.03800000000000003,,,,0,False,False,False,False,True,False,,,0,False,False,False,0,True,True,True,0.0063141281716525555,,True,,True,False,True
